"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"208",107094.374566071,250336.598043221,240882.909082501,22.3548130731125,23.817762568882,22.9194101278024
"209",127567.587923518,312893.899575828,282809.302347773,20.5839641711161,22.6952445133085,21.1840179742416
"210",112813.499715359,282324.761262886,266259.608654635,21.1917776580487,23.0272981045979,21.7697026778959
"211",114252.350306628,284289.063714181,263297.58375018,21.0212871595961,22.669207185518,21.9492567104006
"212",100984.304397006,252953.974760494,232090.609447042,21.6556581637588,23.2261126557519,22.3037846789557
"213",113134.206130577,250023.777375307,227028.268900757,22.1228352928188,23.8268544916937,22.8502350105991
"214",111635.208057389,288000.553483695,253277.837124391,20.8309834540591,22.5635727545078,21.7845855276141
"215",109923.671016163,281575.231030719,262152.863517105,20.553069070697,22.3598345838959,21.4401507473955
"216",116849.428698613,283420.080848543,252781.221467733,21.2864077599106,23.2643057518287,22.1419419246088
"217",123825.061580714,283992.182406978,243388.604131027,21.7508651476009,23.5606900022556,22.7667956356526
"218",127273.511437977,314291.229812266,272709.486166603,20.5022303986408,22.5411911357292,21.4562545444078
"219",112022.476382632,228074.451251625,212619.319370264,22.8708330297113,24.4785517389854,23.4753619345282
"220",117989.276660728,278273.919493118,239611.684340295,21.2208190012414,22.9659207436767,22.1044880345949
"221",103099.067429524,235345.038732962,208884.347024921,22.6051381901379,23.9067355810417,23.3510246743744
"222",120710.677870807,326533.396640856,308595.530115559,19.5193744172648,21.5754101235385,20.3814930742931
"223",122075.66972626,342450.793202728,307934.661992476,19.4872238555367,21.4867021505573,20.4156689699984
"224",117900.881193703,290986.476000949,259056.20738681,21.1419398986519,22.8257877778853,22.1120353729141
"225",101680.09771587,233049.533290263,202061.461779764,22.6824946882296,24.1444388549848,23.4382701226278
"226",108530.283253545,268359.807108957,252774.313197018,21.392028641012,23.0221313385394,22.0314429956328
"227",92939.86222948,247345.548341816,228460.456737752,22.0304369290079,23.3421060091699,22.7133287950799
"228",107048.323098493,267542.704121818,233105.005946173,21.3880198130189,22.9844326014205,22.4893384372844
"229",112263.733415689,263320.074902507,242257.256821739,21.8100367100848,23.2881467613321,22.4974404681352
"230",104255.377072412,233353.391721167,195078.024541723,22.3199933316214,23.6920415796231,23.2272029492007
"231",107355.001026243,250318.428519728,224603.446987328,22.2667937388312,23.766771734552,22.9284003947038
"232",114649.397924267,258025.852429449,233115.197635822,22.0297010468992,23.6486415179947,22.7579392600787
"233",121965.060609325,298529.272851963,270787.841907309,20.5277218415273,22.6448511409314,21.3139209302454
"234",105953.96049787,257847.619362757,228086.154470645,21.4075548788201,22.9607837579516,22.4282638299174
"235",118898.260119059,300683.626398649,294944.751331253,20.9886765134652,22.8315085917846,21.3974527733698
"236",116385.103963581,301884.198739011,260143.970714561,20.7880931299759,22.503653834367,21.7703603003847
"237",113406.135423798,265960.965120031,245625.180945423,20.6399939470416,22.318881214781,21.4016725955457
"238",116144.457397297,282644.126342978,256303.374175292,21.0979961429271,22.8364193271267,21.861426171205
"239",111261.953513332,280681.459777468,252249.417061957,21.2056059081474,22.9681867571611,22.0617106950114
"240",107689.156986039,274687.008090062,256419.024109684,21.1948865237547,22.7042535978516,21.9384849236324
"241",116404.60833908,288802.590113269,255797.783069097,21.0396927686369,22.649784355689,21.9424466965272
"242",110790.982490674,279638.999378977,249672.578566291,20.9915899679804,22.6758425827631,21.8985177525895
"243",117824.019714891,311353.149237726,289284.2665272,20.1064939915999,21.9654967937125,20.81834045434
"244",98941.6876835925,210082.590296835,199569.244191308,22.9432607545613,24.0786363373733,23.4988823328439
"245",109372.538884819,262521.575225138,237316.890229312,21.1473583066704,22.8000718486921,22.0224823321308
"246",114500.867043791,271402.699960288,239879.847206344,21.2601158657975,22.9583273999363,22.1463345187542
"247",116594.747594314,267152.159466713,249401.240700621,21.7307607259247,23.3738858028326,22.463934132412
"248",120787.843594535,284809.416120298,258691.493185653,21.318483903562,23.075928179318,22.0652595214508
"249",111687.524942432,242734.965472969,200119.231153243,22.8989116011009,24.4673171847003,23.6912769047389
"250",127131.251411456,314818.568074954,289225.629863719,20.4533365621419,22.3961575840779,21.1581057672031
"251",127342.662856981,299996.804743064,257770.482689901,21.0077616266986,22.9361164445923,21.9698907772565
"252",112203.780199276,288770.477207324,255360.654742549,21.5577816463947,23.1053578289125,22.4156214040017
"253",111623.361896479,278376.622376479,260753.610335659,21.092994463195,22.9607101285453,21.7424829588535
"254",126665.371281048,322702.88715743,264992.766104929,20.9928497179123,23.1608314452385,21.7347271916914
"255",106577.693398886,238008.968420303,207287.032605044,22.7359107471692,24.1163121587182,23.5281665429827
"256",131239.044260979,319274.092469655,300590.710313448,20.6466844951825,22.4199550666226,21.3855469758216
"257",114051.049961019,292476.399915429,271590.040418495,21.0548356678635,22.5559298183633,21.6920344864845
"258",110171.427715159,299828.504953207,290106.437867195,20.5650780425601,22.1691199575017,21.1771624119149
"259",112350.026206909,253599.017093861,218205.487561835,22.5695729452069,24.0789245473759,23.3551542000206
"260",111358.139151535,281504.415624999,250875.734359191,21.7404377465293,23.2708234247707,22.3373616793033
"261",125787.474516077,304861.740789066,284556.421689182,20.1023123318119,21.9414051363028,20.798596981084
"262",104416.9912778,259949.553102027,247267.44990477,21.7343660077243,23.1638818242247,22.5702241463479
"263",118251.513895347,272256.156929659,237973.980535319,22.0159152679037,23.6793711773935,22.8459493607677
"264",110681.650942721,266886.195053901,248963.14229981,21.7389504462787,23.4094627835718,22.3936204060704
"265",115968.246263585,286347.01356633,262607.755353406,21.4104006567216,23.2442382012212,22.1391643965071
"266",105017.898096806,251506.08632705,229492.946480094,22.3402550160611,23.6943719603052,23.2416219307757
"267",122387.959009589,285427.991237039,268917.414533014,21.0783625183693,22.9549268854681,21.8135517048073
"268",103138.917450618,250827.998184586,233255.818850732,21.7236277999663,23.1298948267584,22.3622507597434
"269",115570.758204525,292973.011971563,250715.148881493,20.4275656532965,22.5125024592042,21.4690975342639
"270",119373.234641076,284598.816500491,253141.833870726,21.4732098869258,23.3577862741811,22.0705674968293
"271",114830.114348674,284796.599054111,238190.277434743,21.2203310606381,23.2057029765411,22.0289553199535
"272",110590.061255503,241384.967727478,220824.418744767,21.9270332019503,23.6114531724207,22.5923662401337
"273",109162.252003633,279834.897105451,267114.31222379,21.6498927471446,23.2178292081827,22.0559874814712
"274",124282.323394077,294312.950801463,287922.263364038,20.4971622844754,22.528782086144,21.1464500574567
"275",104050.463339041,252352.215937224,235503.804308922,22.2080787550022,23.7129439725177,22.8124488511361
"276",117778.787501294,309714.585503242,270667.687536392,21.142504686425,22.8338833965033,21.6972057599726
"277",125834.589801543,325041.059361794,297856.635926088,19.9194687229315,21.6375909923389,20.764499777906
"278",114610.714989305,295337.170142328,282468.771577052,20.1435728007487,22.0502976924498,20.8316998691443
"279",102278.764150791,244196.425749169,225045.646599153,22.451467520849,23.7614488024122,23.0447175717203
"280",94357.4844168326,255564.668220271,233814.931835455,21.22194441057,22.8146567023847,22.1736790206113
"281",108636.74612913,281617.344568878,259517.104545439,21.1549820588928,23.0285908214461,21.7975578898223
"282",118529.333620698,271297.213574541,244984.214363575,21.4582373688696,23.1837756269509,22.1923184496457
"283",119902.769868653,329770.954755207,279449.899714235,19.9949386320434,21.751375906694,21.0661796529463
"284",119954.977978536,306349.978536503,275235.731398245,20.3250252440784,21.958395486807,21.4413638977348
"285",109716.98584152,265557.530836477,224334.326026527,22.1566450878958,23.7250046066618,23.1562356148557
